"TAX_INCLUSIVE_YN","RESORT","FREQUENT_FLYER_YN","TRX_CODE","TC_GROUP","TC_SUBGROUP","TCL_CODE_DFLT_CL1","TCL_CODE_DFLT_CL2","CLASS_1_MANDATORY_YN","CLASS_2_MANDATORY_YN","DESCRIPTION","TC_TRANSACTION_TYPE","IS_MANUAL_POST_ALLOWED","RESULT_INCLUDED_IN_SUM_ARRAY","CC_TYPE","COMMISSION","CC_CODE","IND_BILLING","IND_AR","CURRENCY","IND_REVENUE_GP","ADJ_TRX_CODE","ARRANGE_CODE","EXPENSE_FOLIO","GROUP_FOLIO","REV_BUCKET_ID","REV_GP_ID","IND_CASH","IND_DEPOSIT_YN","DEFERRED_YN","AR_NAME_ID","TRX_CODE_TYPE","INSERT_USER","INSERT_DATE","UPDATE_USER","UPDATE_DATE","TC_RESORT","TC_BOF_REF_CODE","TC_BOF_INTERFACE","TC_RESORT2","TC_BOF_REF_CODE2","TC_BOF_INTERFACE2","CRS_TAX_DESC","TAX_CODE_NO","TRX_ACTION_ID","EXPORT_BUCKET","INH_SALES_YN","INH_PAY_YN","INH_DEPOSIT_YN","FISCAL_TRX_CODE_TYPE","COMP_YN","DEFAULT_PRICE","INACTIVE_DATE","PAYMENT_TAX_INVOICE_YN","INTERNAL_YN","FISCAL_PAYMENT_YN","COMP_NIGHTS_YN","ROTATION_REV_YN","OWNER_REV_YN","CHECK_NO_MANDATORY_YN","DED_OWNER_REV_YN","NON_TAXABLE_YN","COMP_PAYMENT_YN","MIN_AMT","MAX_AMT","TRX_SERVICE_TYPE","DAILY_PLAN_FOLIO","TRX_CODE_DISPLAY","INCLUDE_IN_DEPOSIT_RULE_YN","INCLUDE_IN_8300_YN","MANUAL_POST_COVERS_YN","ROUND_FACTOR_YN","DEPOSIT_POSTING_ONLY_YN","TRX_TAX_TYPE_CODE","DEPOSIT_TYPE","GP_POINTS_REDEMPTION_YN","EXTERNAL_PAYMENT_CODE","E_INVOICE_YN","CORP_PROP_FLAG","CORPORATE_DESCRIPTION","PRINT_RECEIPT_YN","SERVICE_RECOVERY_TRX_CODE","ACCOUNTING_CODE","QUANTITY_CODE","UPC_CODE"
"Y","VILU","N","24161","F&B","TNRV","","","","","The Nautilus AI Premium Liquor Breakfast Rebate","C    ","Y","","",0,"","N","N","","Y","","",,,,,"N","N","N",,"F",1835,03-NOV-15,802,11-NOV-15,"","","","","","","",,45866,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24162","F&B","TNRV","","","","","The Nautilus Premium Beverage Breakfast Rebate","C    ","Y","","",0,"","N","N","","Y","","",,,,,"N","N","N",,"F",1835,03-NOV-15,802,11-NOV-15,"","","","","","","",,45870,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24165","F&B","TNRV","","","","","The Nautilus Tobacco Breakfast Rebate","C    ","Y","","",0,"","N","N","","Y","","11506",,,,,"N","N","N",,"F",2,17-SEP-15,802,11-NOV-15,"","","","","","","",,45874,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24166","F&B","TNRV","","","","","The Nautilus Misc Breakfast Rebate","C    ","Y","","",0,"","N","N","","Y","","11506",,,,,"N","N","N",,"F",2,17-SEP-15,802,11-NOV-15,"","","","","","","",,45878,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"N","VILU","N","24170","SVC","TNSC","","","","","The Nautilus SVC Breakfast","C    ","Y","111","",0,"","N","N","","N","","11506",,,,,"N","N","N",,"X",502,16-SEP-15,502,16-SEP-15,"","","","","","","",1,35216,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"N","VILU","N","24175","SVC","TNSC","","","","","The Nautilus SVC Breakfast Rebate","C    ","Y","111","",0,"","N","N","","N","","11506",,,,,"N","N","N",,"X",502,16-SEP-15,502,16-SEP-15,"","","","","","","",1,35218,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"N","VILU","N","24180","TAX","TNTX","","","","","The Nautilus GST Breakfast","C    ","Y","","",0,"","N","N","","N","","11506",,,,,"N","N","N",,"X",502,16-SEP-15,502,16-SEP-15,"","","","","","","",2,35229,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"N","VILU","N","24185","TAX","TNTX","","","","","The Nautilus GST Breakfast Rebate","C    ","Y","","",0,"","N","N","","N","","11506",,,,,"N","N","N",,"X",502,16-SEP-15,502,16-SEP-15,"","","","","","","",2,35230,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"N","VILU","N","24190","TIP","TNTP","","","","","The Nautilus Tips Breakfast","C    ","Y","","",0,"","N","N","","N","24195","11506",,,,,"N","N","N",,"X",502,16-SEP-15,2,11-AUG-17,"","","","","","","",4,65965,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"N","VILU","N","24195","TIP","TNTP","","","","","The Nautilus Tips Breakfast Rebate","C    ","Y","","",0,"","N","N","","N","","11506",,,,,"N","N","N",,"X",502,16-SEP-15,2,11-AUG-17,"","","","","","","",4,65966,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
